run,arch,n_days,IC,RankIC,ICIR,RMSE,R2,R2_zero,Sharpe,hit_rate,ann_return
20260710_1813_opt_p24_delta_lag,delta_lag,246,0.019980350814750764,0.02177700348432056,0.04920546788681395,0.024337386399685742,-0.2180170995231725,-0.21593170807006867,-0.6761852978856744,0.4715447154471545,-0.19498476332973544
20260710_2141_opt_p28_dl_lr1e3_pat20,delta_lag,246,0.019980350814750764,0.02177700348432056,0.04920546788681395,0.024337386399685742,-0.2180170995231725,-0.21593170807006867,-0.6761852978856744,0.4715447154471545,-0.19498476332973544
20260718_2355_opt_p60_dl5e4_s123,delta_lag,246,0.019956161382733897,0.023228803716608598,0.051190301312975965,0.029793149017580567,-0.8253171247566504,-0.822191962776033,0.48396385504735606,0.5203252032520326,0.1334871919996032
20260804_1839_opt_p71_lstm_s2026,baseline_lstm,246,0.019751704549739298,0.03440766550522648,0.04797184820833247,0.022591068024149015,-0.04949176979269221,-0.04769491392943248,1.0267901522813416,0.516260162601626,0.3054897720221334
20260702_2316_opt_p21_hats,hats,246,0.018947963667614063,-0.006678281068524969,0.04972736370371523,0.02358835893093787,-0.1441974241668722,-0.1422384208573495,-0.7711939912980137,0.516260162601626,-0.22885162395527295
20260804_1837_opt_p71_lstm_s7,baseline_lstm,246,0.017720885262083406,0.050958188153310116,0.04386564887719962,0.026536347782141506,-0.44806418184951413,-0.44558492218266954,1.5127574563038773,0.5528455284552846,0.4539591609500337
20260718_0050_opt_p54_noa12_lr5e4_s123,magnet_no_a12,246,0.016873923538194648,0.040214866434378625,0.04102776833142409,0.022046000849003267,0.0005406154661581342,0.002251809881283595,1.2484037858135317,0.516260162601626,0.356956998618865
20260717_2340_opt_p48_raw_lr5e4_s123,magnet,246,0.016420683000997496,0.010017421602787452,0.040253091147308906,0.022111082209010906,-0.005369044696636793,-0.0036477322340724427,-0.6724396072775386,0.5121951219512195,-0.20270029196186357
20260720_0024_opt_p68_rep_s42_b,magnet,246,0.016193401783073942,-0.019308943089430895,0.04162313124815761,0.022295920389329888,-0.022248120163580243,-0.020497908698096534,-1.2889405227754018,0.45934959349593496,-0.3509943210576638
20260710_2130_opt_p26_hgt_lr5e4_pat15,hgt,246,0.015423306199647754,-0.0010162601626016233,0.03815614343352465,0.022597853422756473,-0.05012231009666479,-0.04832437467273132,-1.088703628000725,0.4796747967479675,-0.3139656180652174
20260717_2319_opt_p46_raw_lr5e4_s42,magnet,246,0.014869781342746096,-0.005371660859465746,0.03559694107202701,0.02204927422583702,0.00024379518558714786,0.0019554977926553585,-0.026343804644878385,0.491869918699187,-0.007996906208373612
